Title,Platform,Genre
Avengers Endgame,Disney+,Action
Frozen,Disney+,Animation
The Lion King,Disney+,Animation
Loki,Disney+,Action
Black Panther,Disney+,Action
Stranger Things,Netflix,Sci-Fi
Wednesday,Netflix,Horror
Money Heist,Netflix,Crime
Extraction,Netflix,Action
The Witcher,Netflix,Fantasy
The Gray Man,Netflix,Action
Red Notice,Netflix,Comedy
The Boys,Amazon Prime,Action
Mirzapur,Amazon Prime,Crime
Farzi,Amazon Prime,Crime
The Family Man,Amazon Prime,Action
Jack Ryan,Amazon Prime,Action
Reacher,Amazon Prime,Thriller
Extraction,Amazon Prime,Action
Red Notice,Amazon Prime,Comedy
