"MPG,Horsepower,Weight,Cylinders,Acceleration"
"18.0,130,3504,8,12.0"
"15.0,165,3693,8,11.5"
"18.0,150,3436,8,11.0"
"16.0,150,3433,8,12.0"
"17.0,140,3449,8,10.5"
"15.0,198,4341,8,10.0"
"14.0,220,4354,8,9.0"
"14.0,215,4312,8,8.5"
"14.0,225,4425,8,10.0"
"15.0,190,3850,8,8.5"
"15.0,170,3563,8,10.0"
"14.0,160,3609,8,8.0"
"15.0,150,3761,8,9.5"
"14.0,225,3086,8,10.0"
"24.0,95,2372,4,15.0"
"22.0,95,2833,4,15.5"
"18.0,97,2774,4,15.5"
"21.0,85,2587,4,16.0"
"27.0,88,2130,4,14.5"
"26.0,46,1835,4,20.5"
"25.0,87,2672,4,17.5"
"24.0,90,2430,4,14.5"
"25.0,95,2375,4,17.5"
"26.0,113,2234,4,12.5"
"21.0,90,2648,4,15.0"
"10.0,215,4615,8,14.0"
"10.0,200,4376,8,15.0"
"11.0,210,4382,8,13.5"
"9.0,193,4732,8,18.5"
"27.0,88,2130,4,14.5"
"28.0,90,2264,4,15.5"
"25.0,95,2228,4,14.0"
"30.0,67,1963,4,15.5"
"31.0,67,1950,4,19.0"
"35.0,65,2024,4,19.0"
"36.0,69,1985,4,18.0"
"32.0,70,1990,4,17.0"
"29.0,90,2125,4,14.5"
"34.0,52,2035,4,22.2"
"33.0,60,1968,4,18.5"
